Matched Terms,Job Title,URL,Salary,Company Name,Job Type
"内製化,コミュニケーション,投資,メディア",日経のCMSの内製開発をリードするフロントエンドエンジニア募,https://www.green-japan.com/company/8860/job/169693,600万円〜1000万円,株式会社日本経済新聞社 ,■フロントエンドエンジニア（CMS）
"内製化,マネージャー",◆東証プライム　Tech Lead、開発エンジニア（Java,https://www.green-japan.com/company/8702/job/164090,700万円〜940万円,株式会社ジェイエイシーリクルートメント ,基幹システム及び周辺システムのTech Lead、開発エンジニア
"内製化,立ち上げ,ベンチャー,投資",【サーバーサイド テックリード※フルフレックス※】国内大手流,https://www.green-japan.com/company/8166/job/215042,680万円〜1200万円,イオンスマートテクノロジー株式会社 ,サーバーサイド テックリード
"立ち上げ,牽引,フレックスタイム,マネージャー",【リモートワーク可】営業マネージャー｜大手総合商社グループ1,https://www.green-japan.com/company/8940/job/196389,700万円〜,ジーアイクラウド株式会社 ,営業マネージャー
"コミュニケーション,1人目,フレックスタイム,メディア",【自社勤務！Web系システムエンジニア】自社製品CMS導入に,https://www.green-japan.com/company/1284/job/175493,500万円〜800万円,株式会社コネクティ ,Web系システムエンジニア（SD）
"コミュニケーション,リーダー",【社内WEBシステム　開発・保守エンジニア（東京勤務）】年間,https://www.green-japan.com/company/9261/job/191173,500万円〜,ワールド・ファミリー株式会社 ,社内WEBシステム　開発・保守エンジニア（東京勤務）
"リーダー,リード,PM",【管理職候補】 サーバーエンジニア／レンタルサーバーサービス,https://www.green-japan.com/company/3079/job/212231,800万円〜800万円,エックスサーバー株式会社 ,サーバーエンジニア【管理職候補】
"スタートアップ,新規事業,リード,Web",【自社サービス Web開発】PHP/TypeScriptエン,https://www.green-japan.com/company/5247/job/215661,800万円〜,株式会社root ip ,システム開発職
"最先端,商社,半導体",「電子・電気系エンジニア」☆日本の技術発展と社会貢献が実感出,https://www.green-japan.com/company/5809/job/164661,500万円〜880万円,ハイソル株式会社 ,電子・電気系エンジニア
"コミュニケーション,ベンチャー,マネージャー,リード",【エンジニアリングマネージャー/クライアントフォーカス】デー,https://www.green-japan.com/company/6730/job/187991,900万円〜1400万円,株式会社フライウィール ,エンジニアリングマネージャー クライアントフォーカス
"立ち上げ,最先端,フレックスタイム,経済",SRE部署の立ち上げエンジニアを募集！,https://www.green-japan.com/company/1260/job/221165,750万円〜1000万円,ココネ株式会社 ,SRE
"立ち上げ,フレックスタイム,マネージャー,リード",求人検索エンジンの仕組み作りをリードするプロダクトマネージャ,https://www.green-japan.com/company/7597/job/206923,504万円〜1005万円,株式会社スタンバイ ,プロダクトマネージャー（検索改善＆求人改善担当）
"投資,フレックスタイム,リーダー,メディア",リユース業界で注目！急成長プロダクト「Pollet」開発のリ,https://www.green-japan.com/company/2657/job/218935,502万円〜708万円,株式会社オズビジョン ,Polletリーダー　Webエンジニア(フロント・バックエンド横断開発)
"コミュニケーション,牽引,スタートアップ,リード",【複雑GUIプロダクトのテックリード】ものづくり産業の働き方,https://www.green-japan.com/company/8779/job/193295,720万円〜1200万円,Scene株式会社 ,シニアソフトウェアエンジニア
"コミュニケーション,牽引,一人目,リーダー",【 Recruiter ／リモート 】 組織の壁を越えたコラ,https://www.green-japan.com/company/8563/job/188434,600万円〜800万円,Beatrust株式会社 ,Recruiter（リクルーター）
"立ち上げ,コミュニケーション,牽引,スタートアップ",【フルリモート/フルフレックス】IT×フィットネス次世代型サ,https://www.green-japan.com/company/9236/job/214981,600万円〜1200万円,株式会社FiT ,情報システム管理・インフラ保守・改善
"リーダー,スタートアップ",自社開発/リモート可/独自技術で環境負荷削減・金属インクジェ,https://www.green-japan.com/company/9706/job/221393,500万円〜800万円,エレファンテック株式会社 ,回路印刷装置ソフトエンジニア・リーダー候補
"0→1,フレックスタイム,経済,リード",パン業界の常識を覆すサービスを支える仕組みをテックリードとし,https://www.green-japan.com/company/7901/job/131082,600万円〜1200万円,株式会社パンフォーユー ,バックエンドエンジニア(テックリード候補)
フレックスタイム,サーバーエンジニア【Java】ご経験者大募集【自社モバイルゲ,https://www.green-japan.com/company/6486/job/230291,590万円〜1000万円,エヌ・シー・ジャパン株式会社 ,ゲームサーバーエンジニア【Java】【自社モバイルゲーム開発チーム配属】
"立ち上げ,コミュニケーション,0→1,フレックスタイム",【ブランドプロデューサー】自社ブランドの成長を担う事業プロデ,https://www.green-japan.com/company/9754/job/220766,500万円〜800万円,divi株式会社 ,プロデューサー
ディレクター,自社開発ゲームソフトのエンジニア関連,https://www.green-japan.com/company/4838/job/48798,480万円〜,株式会社カイロソフト ,システムエンジニア（ゲーム）
"立ち上げ,フレックスタイム,リーダー,スタートアップ",【データ分析リーダー候補】eKYC事業 |急成長スタートアッ,https://www.green-japan.com/company/7129/job/226484,700万円〜900万円,株式会社TRUSTDOCK ,データ分析リーダー候補
"立ち上げ,最先端,ベンチャー,1人目",農業の収益構造を見える化/1人目のFintech開発エンジニ,https://www.green-japan.com/company/8359/job/160052,500万円〜800万円,アレスカジャパン株式会社 ,【Fintech／ハイブリットワーク／フルスタックエンジニア】世界の社会問題を解決／少数精鋭で裁量の大きな業務に挑戦できます
"立ち上げ,コミュニケーション,最先端,ディレクター",デジタルクリエイティブ開発におけるテクニカルディレクター募集,https://www.green-japan.com/company/3207/job/116034,625万円〜,株式会社博報堂アイ・スタジオ ,テクニカルディレクター
"コミュニケーション,最先端,マネージャー",テクニカルアカウントマネージャーを募集,https://www.green-japan.com/company/8306/job/144108,500万円〜1200万円,楽天コミュニケーションズ株式会社 ,テクニカルアカウントマネージャー
"コミュニケーション,フレックスタイム,マネージャー,リーダー",地方創生／社会貢献度の高いソーシャルコワーキング事業！採用担,https://www.green-japan.com/company/9238/job/198224,500万円〜700万円,株式会社ATOMica ,採用人事＿CMT採用
"コミュニケーション,最先端,フレックスタイム,マネージャー",【PM経験を積みたいバックエンドエンジニア歓迎！】自社開発の,https://www.green-japan.com/company/8525/job/205291,720万円〜1032万円,株式会社アップルワールド ,【S-80-2】【プロジェクトマネージャー候補】フレックス／リモート可
コミュニケーション,【外資系ゲーム会社】ゲーム開発ブリッジエンジニア,https://www.green-japan.com/company/8943/job/188496,600万円〜,網易娯楽株式会社 ,ゲーム開発ブリッジエンジニア
"コミュニケーション,投資,メディア,経済",【世界最大級の経済ニュースサービス】日経電子版のWebアプリ,https://www.green-japan.com/company/8860/job/167094,600万円〜1000万円,株式会社日本経済新聞社 ,■Webアプリケーションエンジニア
"ベンチャー,リード",【クライアントサイドエンジニア】メガヒット作を手掛けてきた,https://www.green-japan.com/company/5160/job/54257,500万円〜800万円,アングー株式会社 ,クライアントサイドエンジニア
"マネージャー,スタートアップ,1on1",お花のサブスクサービスのPdMとして、プロダクト改善の施策立,https://www.green-japan.com/company/5741/job/109535,600万円〜800万円,ユーザーライク株式会社 ,プロダクトマネージャー（PdM）
"立ち上げ,コミュニケーション,牽引,ゼロから",クライアントの重要な意思決定をリサーチから後押しする！〜デザ,https://www.green-japan.com/company/3111/job/186303,600万円〜1000万円,株式会社グッドパッチ ,デザインリサーチャー
"牽引,フルスタック,リーダー,スタートアップ",年率10％以上成長している市場を牽引していくサービス運用を支,https://www.green-japan.com/company/8416/job/148945,500万円〜800万円,株式会社Belong ,SRE
"コミュニケーション,マネージャー,スタートアップ,リード",【複雑GUIプロダクトのCTO候補】ものづくり産業の働き方を,https://www.green-japan.com/company/8779/job/193297,720万円〜1200万円,Scene株式会社 ,CTO候補
"内製化,ベンチャー,フレックスタイム,リーダー",【平均残業時間8H&リモートOK】自社サービスに携わりたいク,https://www.green-japan.com/company/3518/job/199648,500万円〜750万円,株式会社スーパーソフトウエア ,クラウド事業部／AWSエンジニア／自社サービス
"立ち上げ,コミュニケーション,フレックスタイム,イノベーション",共通認証基盤エンジニア,https://www.green-japan.com/company/1517/job/216751,714万円〜1449万円,Sansan 株式会社　エンジニア職・デザイナー職採用 ,共通認証基盤エンジニア
"コミュニケーション,リード",【国内トップクラスのレンタルサーバー企業】サーバーエンジニア,https://www.green-japan.com/company/3079/job/227460,700万円〜,エックスサーバー株式会社 ,【XSC】サーバー開発（即戦力）
"立ち上げ,コミュニケーション,ベンチャー,投資",【SRE】業界トップクラスのロボアドバイザーのサービス信頼性,https://www.green-japan.com/company/4408/job/205876,600万円〜1000万円,ウェルスナビ株式会社 ,SRE
"立ち上げ,牽引,オープンポジション,フレックスタイム",「リアル空間×IT」次世代型フィットネスジムのプロダクト開発,https://www.green-japan.com/company/9236/job/212799,500万円〜1200万円,株式会社FiT ,ソフトウェアエンジニア（オープンポジション）
"コミュニケーション,最先端,フレックスタイム,マネージャー",【TypeScript／Nuxt.js】自社開発・次世代旅行,https://www.green-japan.com/company/8525/job/205288,720万円〜1032万円,株式会社アップルワールド ,【S-80-1】【プロジェクトマネージャー】フレックス／リモート可
"電子書籍,フレックスタイム,ディレクター",【BOOK☆WALKERストア】ディレクター,https://www.green-japan.com/company/9154/job/181381,491万円〜900万円,株式会社ブックウォーカー ,【BOOK☆WALKERストア】ディレクター
"立ち上げ,ディレクター,マネージャー,メディア","【プロダクトマネージャー】月間4,000万人が訪れる日本最大",https://www.green-japan.com/company/5685/job/199237,600万円〜800万円,株式会社ゲームエイト ,日本最大級のゲーム総合情報Webメディア「Game8」のプロダクトマネージャー
"牽引,マネージャー,スタートアップ,イノベーション",スタートアップ支援を加速させるプロダクトマネージャーを募集し,https://www.green-japan.com/company/5532/job/225024,600万円〜1200万円,Creww株式会社 ,プロダクトマネージャー
"牽引,マネージャー,スタートアップ,イノベーション",プロジェクトの企画から遂行まで一貫して行うプロジェクトマネー,https://www.green-japan.com/company/5532/job/223870,600万円〜700万円,Creww株式会社 ,プロジェクトマネージャー
"立ち上げ,メディア,スタートアップ,新規事業",【Backend】一緒にユーザーが熱狂するNo.1のメディア,https://www.green-japan.com/company/7741/job/126932,600万円〜1200万円,株式会社CAM ,Backend
"立ち上げ,スタートアップ,新規事業,Web",Go で API サーバーを立ち上げるバックエンドエンジニア,https://www.green-japan.com/company/8416/job/199848,500万円〜750万円,株式会社Belong ,Software Engineer - Belong One Backend
"立ち上げ,スタートアップ,新規事業,リード",裁量を持ちつつ新規サービスの立ち上げをリードしたいエンジニア,https://www.green-japan.com/company/8416/job/200366,500万円〜900万円,株式会社Belong ,Senior Software Engineer - Belong One Backend
"最先端,ベンチャー,牽引,VPoE",【2人目エンジニアVPoE候補（テックリード）】150兆円の,https://www.green-japan.com/company/8823/job/174798,500万円〜1000万円,しるし株式会社 ,VPoE候補（テックリード）
